algoritmo,unidade,ev_treino,n_nucleo,n_adicao,auroc_0,auroc_25,auroc_50,auroc_75,auroc_100,ganho_total,parcela_25
XGBoost,022,39,2299,6900,0.5,0.5,0.5,0.6965260297376363,0.7339074359326396,0.23390743593263963,0.0
XGBoost,076,150,5243,15731,0.7201028238747056,0.7700593738483622,0.7734804979127965,0.7704067973372014,0.7963783201333849,0.07627549625867935,0.6549488685623869
XGBoost,079,212,11026,33079,0.5,0.7385639671604227,0.7386711717363967,0.7330963206445147,0.7406496197254322,0.2406496197254322,0.991333239722593
XGBoost,151,148,6751,20253,0.7741657665082327,0.7748959502506829,0.7806493163231687,0.7879270169590766,0.7808003777453303,0.006634611237097632,0.1100567488216067
XGBoost,215,242,10421,31264,0.7234346143978583,0.725496295960254,0.7325418972203512,0.7416573465288139,0.749939549230294,0.026504934832435767,0.07778481914517717
XGBoost,385,770,14331,42994,0.764041708376351,0.7714375304635215,0.7782516213776175,0.7833964494885757,0.7865457521431574,0.02250404376680637,0.32864413897378664
XGBoost,515,217,4857,14571,0.7339492779926348,0.7890257066630588,0.7989020055668484,0.7988679655429575,0.8048168747772602,0.0708675967846254,0.7771736473272478
XGBoost,516,227,7370,22112,0.7406165074139882,0.7534295971618812,0.7589626954801989,0.7607427842622141,0.757082128440276,0.01646562102628779,0.7781722734561022
XGBoost,529,198,5368,16106,0.6778349516618332,0.7007726616198049,0.7043307724499317,0.7121737356927331,0.7138108582976042,0.03597590663577099,0.6375853203700688
XGBoost,551,361,13017,39051,0.7830261638322765,0.7787597762769066,0.7723918090795752,0.7722495699045893,0.7753572822806603,-0.007668881551616269,0.556324612220765
XGBoost,564,200,6071,18215,0.754710678496007,0.7688332278647961,0.7619634811355642,0.7639357140639131,0.7665485854097364,0.011837906913729324,1.1929937844341467
XGBoost,566,146,3958,11875,0.665479725614586,0.7069649854076527,0.7113815907594709,0.715384702268004,0.7255221443416076,0.06004241872702154,0.6909325219171535
XGBoost,732,123,4984,14955,0.5856726335131024,0.5666948134473843,0.5845299103595062,0.587329656631865,0.6009190172391126,0.015246383726010171,-1.2447423865727694
XGBoost,733,103,5692,17077,0.6622118442629898,0.6819890233827076,0.6678561734281255,0.6336795177392853,0.6488217049969749,-0.013390139266014955,-1.4769957747873121
XGBoost,774,65,2882,8649,0.5,0.5,0.5,0.5,0.5,0.0,
LightGBM,022,39,2299,6900,0.6958985098979157,0.6837975225734876,0.6902705251966226,0.6679714098879259,0.682449250880337,-0.013449259017578652,0.8997512285704133
