unidade,alg,ev_treino,ev_teste,dobras,local,local_cv,local_div,local_par,agrupado,agrupado_cv,agrupado_div,agrupado_par,externa_platt,segundos
022,CatBoost,39,239,2,0.7383439206927113,0.7181628250983365,496,"{""iterations"": 496, ""learning_rate"": 0.010855837367175304, ""depth"": 6, ""l2_leaf_reg"": 4.954483271450127, ""min_data_in_leaf"": 7}",0.741430142732413,0.7480508204591301,318,"{""iterations"": 318, ""learning_rate"": 0.010162082574881565, ""depth"": 7, ""l2_leaf_reg"": 0.8475826132861376, ""min_data_in_leaf"": 3}",0.7172878989001392,161
076,CatBoost,150,498,2,0.794049219643182,0.8199389078142845,256,"{""iterations"": 256, ""learning_rate"": 0.10283768419367671, ""depth"": 3, ""l2_leaf_reg"": 12.757536421257903, ""min_data_in_leaf"": 1}",0.7975456154587842,0.8134024909474336,303,"{""iterations"": 303, ""learning_rate"": 0.06459487566403872, ""depth"": 5, ""l2_leaf_reg"": 12.456214701763356, ""min_data_in_leaf"": 2}",0.7582827083975423,135
079,CatBoost,212,694,2,0.765511741393182,0.7718617418344185,163,"{""iterations"": 163, ""learning_rate"": 0.05176936180506376, ""depth"": 8, ""l2_leaf_reg"": 2.5637671116424827, ""min_data_in_leaf"": 22}",0.7729729798561203,0.7738992799237299,378,"{""iterations"": 378, ""learning_rate"": 0.03693265743032105, ""depth"": 6, ""l2_leaf_reg"": 19.10972592447741, ""min_data_in_leaf"": 5}",0.7402191673387356,130
151,CatBoost,148,367,2,0.7741886872799124,0.7909529571322732,456,"{""iterations"": 456, ""learning_rate"": 0.013354284130669362, ""depth"": 2, ""l2_leaf_reg"": 0.9355101952499345, ""min_data_in_leaf"": 97}",0.7965024141377338,0.7952697575333012,456,"{""iterations"": 456, ""learning_rate"": 0.013354284130669362, ""depth"": 2, ""l2_leaf_reg"": 0.9355101952499345, ""min_data_in_leaf"": 97}",0.794188723989857,101
215,CatBoost,242,736,2,0.7537497091207026,0.8162296088900421,118,"{""iterations"": 118, ""learning_rate"": 0.018842083199166547, ""depth"": 4, ""l2_leaf_reg"": 2.1608036294858106, ""min_data_in_leaf"": 13}",0.7525145874752897,0.8209378152783626,118,"{""iterations"": 118, ""learning_rate"": 0.018842083199166547, ""depth"": 4, ""l2_leaf_reg"": 2.1608036294858106, ""min_data_in_leaf"": 13}",0.7349676582860447,98
385,CatBoost,770,1388,2,0.7880366030772497,0.7886959956712206,390,"{""iterations"": 390, ""learning_rate"": 0.01049714399287136, ""depth"": 6, ""l2_leaf_reg"": 5.594040538341671, ""min_data_in_leaf"": 12}",0.7888242590062857,0.7863712813595318,355,"{""iterations"": 355, ""learning_rate"": 0.033440045667131324, ""depth"": 6, ""l2_leaf_reg"": 19.512658969618727, ""min_data_in_leaf"": 5}",0.7628777371182627,157
515,CatBoost,217,640,2,0.79433956991394,0.750947814408548,456,"{""iterations"": 456, ""learning_rate"": 0.013354284130669362, ""depth"": 2, ""l2_leaf_reg"": 0.9355101952499345, ""min_data_in_leaf"": 97}",0.7988093519422922,0.7557581945590259,479,"{""iterations"": 479, ""learning_rate"": 0.08735280079978877, ""depth"": 2, ""l2_leaf_reg"": 1.2192204127528694, ""min_data_in_leaf"": 2}",0.7636818209566927,90
516,CatBoost,227,493,2,0.7610127541900362,0.7870893733518425,496,"{""iterations"": 496, ""learning_rate"": 0.010855837367175304, ""depth"": 6, ""l2_leaf_reg"": 4.954483271450127, ""min_data_in_leaf"": 7}",0.7733064027318926,0.7934355427980913,489,"{""iterations"": 489, ""learning_rate"": 0.04580761952771989, ""depth"": 5, ""l2_leaf_reg"": 5.88626503460586, ""min_data_in_leaf"": 3}",0.7626716981486916,152
529,CatBoost,198,265,2,0.697103455238548,0.7584098222926973,163,"{""iterations"": 163, ""learning_rate"": 0.025574424892741535, ""depth"": 5, ""l2_leaf_reg"": 2.9559058325069762, ""min_data_in_leaf"": 9}",0.6987384202530161,0.7918715916211957,456,"{""iterations"": 456, ""learning_rate"": 0.013354284130669362, ""depth"": 2, ""l2_leaf_reg"": 0.9355101952499345, ""min_data_in_leaf"": 97}",0.6943557027964,107
551,CatBoost,361,677,2,0.7739681174272905,0.7917280894540465,215,"{""iterations"": 215, ""learning_rate"": 0.010708959666850067, ""depth"": 6, ""l2_leaf_reg"": 1.3110943006287916, ""min_data_in_leaf"": 16}",0.7787215127371706,0.7993164811019058,316,"{""iterations"": 316, ""learning_rate"": 0.025574424892741535, ""depth"": 8, ""l2_leaf_reg"": 19.607412058288798, ""min_data_in_leaf"": 27}",0.7686373825112407,177
564,CatBoost,200,431,2,0.7696657516854039,0.7868529347258468,161,"{""iterations"": 161, ""learning_rate"": 0.031631135625355265, ""depth"": 6, ""l2_leaf_reg"": 3.2522327308277617, ""min_data_in_leaf"": 8}",0.7624903411142485,0.7794740161143897,362,"{""iterations"": 362, ""learning_rate"": 0.010855837367175304, ""depth"": 2, ""l2_leaf_reg"": 2.6135796346890734, ""min_data_in_leaf"": 189}",0.7068706485979589,95
566,CatBoost,146,490,2,0.7141801295298178,0.7747529232057919,121,"{""iterations"": 121, ""learning_rate"": 0.041881962482340586, ""depth"": 8, ""l2_leaf_reg"": 3.5738208330324763, ""min_data_in_leaf"": 32}",0.719428871255247,0.7853306612885111,324,"{""iterations"": 324, ""learning_rate"": 0.025574424892741535, ""depth"": 8, ""l2_leaf_reg"": 19.607412058288798, ""min_data_in_leaf"": 5}",0.7161244409787375,134
732,CatBoost,123,331,2,0.5851694702757797,0.6488604794823087,163,"{""iterations"": 163, ""learning_rate"": 0.025574424892741535, ""depth"": 6, ""l2_leaf_reg"": 2.5637671116424827, ""min_data_in_leaf"": 6}",0.659091590889479,0.6543684394779516,301,"{""iterations"": 301, ""learning_rate"": 0.0648749366904154, ""depth"": 8, ""l2_leaf_reg"": 3.1929696903172764, ""min_data_in_leaf"": 2}",0.6459219471247137,164
733,CatBoost,103,281,2,0.7423544190431397,0.6928220894058575,345,"{""iterations"": 345, ""learning_rate"": 0.024643761523592166, ""depth"": 3, ""l2_leaf_reg"": 4.806847208493421, ""min_data_in_leaf"": 198}",0.7514186775222254,0.7304953476500097,168,"{""iterations"": 168, ""learning_rate"": 0.06420118307884073, ""depth"": 6, ""l2_leaf_reg"": 2.1024464490153663, ""min_data_in_leaf"": 13}",0.75679369427359,143
774,CatBoost,65,290,2,0.5870838829352336,0.700390902007028,220,"{""iterations"": 220, ""learning_rate"": 0.07135709984058083, ""depth"": 8, ""l2_leaf_reg"": 2.9754290627813496, ""min_data_in_leaf"": 14}",0.714689521923783,0.6586326628129453,482,"{""iterations"": 482, ""learning_rate"": 0.010855837367175304, ""depth"": 2, ""l2_leaf_reg"": 12.532597451676907, ""min_data_in_leaf"": 183}",0.7269123662326931,92
