unidade,alg,ev_treino,ev_teste,dobras,local,local_cv,local_div,local_par,agrupado,agrupado_cv,agrupado_div,agrupado_par,externa_platt,segundos
022,Floresta,39,239,2,0.7367344781682134,0.6979339337634926,596,"{""n_estimators"": 596, ""min_samples_leaf"": 12, ""max_features"": 0.6, ""max_depth"": 6}",0.726083910889932,0.6912072280223563,599,"{""n_estimators"": 599, ""min_samples_leaf"": 59, ""max_features"": ""sqrt"", ""max_depth"": 6}",0.674250330640368,368
076,Floresta,150,498,2,0.7922473748549702,0.826684844533596,446,"{""n_estimators"": 446, ""min_samples_leaf"": 4, ""max_features"": 0.6, ""max_depth"": 6}",0.7800962121190701,0.8228953109178876,227,"{""n_estimators"": 227, ""min_samples_leaf"": 1, ""max_features"": 0.3, ""max_depth"": 10}",0.7417156068536055,424
079,Floresta,212,694,2,0.7682935514873586,0.7634474693541247,493,"{""n_estimators"": 493, ""min_samples_leaf"": 18, ""max_features"": 0.6, ""max_depth"": 6}",0.7614885202349513,0.7728026548940139,565,"{""n_estimators"": 565, ""min_samples_leaf"": 39, ""max_features"": ""sqrt"", ""max_depth"": 6}",0.6894629979820881,567
151,Floresta,148,367,2,0.7937245037962671,0.7602586524640496,533,"{""n_estimators"": 533, ""min_samples_leaf"": 35, ""max_features"": ""sqrt"", ""max_depth"": 10}",0.798130201913873,0.7890970515725819,679,"{""n_estimators"": 679, ""min_samples_leaf"": 56, ""max_features"": ""sqrt"", ""max_depth"": 6}",0.7864614641944966,404
215,Floresta,242,736,2,0.7556279015044269,0.7984819495251958,673,"{""n_estimators"": 673, ""min_samples_leaf"": 4, ""max_features"": 0.6, ""max_depth"": 6}",0.7509364347677665,0.8165581037699176,478,"{""n_estimators"": 478, ""min_samples_leaf"": 3, ""max_features"": 0.6, ""max_depth"": 6}",0.6705340839859748,573
385,Floresta,770,1388,2,0.7811309027403784,0.7846394545880246,310,"{""n_estimators"": 310, ""min_samples_leaf"": 9, ""max_features"": ""sqrt"", ""max_depth"": 6}",0.7802756327183484,0.776703231398879,646,"{""n_estimators"": 646, ""min_samples_leaf"": 4, ""max_features"": 0.6, ""max_depth"": 6}",0.7392550310770636,742
515,Floresta,217,640,2,0.7986850197496074,0.7370171642792224,493,"{""n_estimators"": 493, ""min_samples_leaf"": 18, ""max_features"": 0.6, ""max_depth"": 6}",0.8012599964856588,0.7407812186007166,595,"{""n_estimators"": 595, ""min_samples_leaf"": 9, ""max_features"": 0.3, ""max_depth"": 10}",0.7484387374440675,413
516,Floresta,227,493,2,0.7681155685706695,0.7851745724865997,497,"{""n_estimators"": 497, ""min_samples_leaf"": 53, ""max_features"": 0.6, ""max_depth"": 6}",0.7732629512780294,0.7921753750355724,227,"{""n_estimators"": 227, ""min_samples_leaf"": 1, ""max_features"": 0.3, ""max_depth"": 10}",0.7141114434725389,501
529,Floresta,198,265,2,0.7062437816616214,0.7665983439655499,493,"{""n_estimators"": 493, ""min_samples_leaf"": 18, ""max_features"": 0.6, ""max_depth"": 6}",0.7132732111947189,0.7933084249138321,673,"{""n_estimators"": 673, ""min_samples_leaf"": 4, ""max_features"": 0.6, ""max_depth"": 6}",0.6363843832792443,534
551,Floresta,361,677,2,0.7761439473099963,0.7881230055026749,493,"{""n_estimators"": 493, ""min_samples_leaf"": 18, ""max_features"": 0.6, ""max_depth"": 6}",0.774195646061096,0.7982950241369073,614,"{""n_estimators"": 614, ""min_samples_leaf"": 9, ""max_features"": ""sqrt"", ""max_depth"": 6}",0.7207625418080199,911
564,Floresta,200,431,2,0.7719341531711116,0.7881816851206523,538,"{""n_estimators"": 538, ""min_samples_leaf"": 57, ""max_features"": 0.3, ""max_depth"": 16}",0.7733574376692309,0.7688827502426276,608,"{""n_estimators"": 608, ""min_samples_leaf"": 2, ""max_features"": ""sqrt"", ""max_depth"": 6}",0.6779448039474867,584
566,Floresta,146,490,2,0.7489786823820437,0.7727264936387291,651,"{""n_estimators"": 651, ""min_samples_leaf"": 59, ""max_features"": ""sqrt"", ""max_depth"": 6}",0.7408943782791709,0.7927493277910662,528,"{""n_estimators"": 528, ""min_samples_leaf"": 27, ""max_features"": 0.6, ""max_depth"": 10}",0.7044059999366316,504
732,Floresta,123,331,2,0.6350861142397861,0.6067198019435325,226,"{""n_estimators"": 226, ""min_samples_leaf"": 24, ""max_features"": 0.6, ""max_depth"": 16}",0.6465466656004322,0.631544533264462,310,"{""n_estimators"": 310, ""min_samples_leaf"": 31, ""max_features"": 0.3, ""max_depth"": 10}",0.6029120849084009,466
733,Floresta,103,281,2,0.7346409780550669,0.6906324568038431,396,"{""n_estimators"": 396, ""min_samples_leaf"": 39, ""max_features"": ""sqrt"", ""max_depth"": 6}",0.7173384664421246,0.7260036148870288,630,"{""n_estimators"": 630, ""min_samples_leaf"": 56, ""max_features"": 0.6, ""max_depth"": 16}",0.7133050936077769,766
774,Floresta,65,290,2,0.7038953893051609,0.6183175134215724,313,"{""n_estimators"": 313, ""min_samples_leaf"": 59, ""max_features"": ""sqrt"", ""max_depth"": 16}",0.7165741134144552,0.6562637242914389,692,"{""n_estimators"": 692, ""min_samples_leaf"": 5, ""max_features"": ""sqrt"", ""max_depth"": 6}",0.6851341866310714,386
