unidade,alg,ev_treino,ev_teste,dobras,local,local_cv,local_div,local_par,agrupado,agrupado_cv,agrupado_div,agrupado_par,externa_platt,segundos
022,LightGBM,39,239,2,0.7027018931898732,0.6634754188838765,4185,"{""n_estimators"": 487, ""learning_rate"": 0.029037920727453637, ""num_leaves"": 42, ""min_child_samples"": 96, ""reg_lambda"": 13.557622834485553, ""subsample"": 0.6340176845479112, ""colsample_bytree"": 0.5195273916164411}",0.7380041475693973,0.6904874688723506,3136,"{""n_estimators"": 392, ""learning_rate"": 0.022265619840714786, ""num_leaves"": 9, ""min_child_samples"": 70, ""reg_lambda"": 2.8754149723505575, ""subsample"": 0.861713879489543, ""colsample_bytree"": 0.7567844394175115}",0.6798825138121021,67
076,LightGBM,150,498,2,0.7950128959866691,0.819631919913133,2710,"{""n_estimators"": 452, ""learning_rate"": 0.020259860851135573, ""num_leaves"": 7, ""min_child_samples"": 3, ""reg_lambda"": 18.55337472718161, ""subsample"": 0.6109073856594145, ""colsample_bytree"": 0.5675217168102096}",0.7968499437788704,0.8208713730357633,1116,"{""n_estimators"": 93, ""learning_rate"": 0.010232920765373021, ""num_leaves"": 13, ""min_child_samples"": 1, ""reg_lambda"": 2.1288852607548154, ""subsample"": 0.8816965864190847, ""colsample_bytree"": 0.7538018602155415}",0.7436126929685416,78
079,LightGBM,212,694,2,0.7535699899852039,0.748982874517332,14802,"{""n_estimators"": 487, ""learning_rate"": 0.029037920727453637, ""num_leaves"": 42, ""min_child_samples"": 96, ""reg_lambda"": 13.557622834485553, ""subsample"": 0.6340176845479112, ""colsample_bytree"": 0.5195273916164411}",0.767914340439586,0.7633807281523199,2763,"{""n_estimators"": 307, ""learning_rate"": 0.019998580216165584, ""num_leaves"": 10, ""min_child_samples"": 18, ""reg_lambda"": 3.8392452688865353, ""subsample"": 0.8962608847484255, ""colsample_bytree"": 0.7265525991268337}",0.7170115408436756,269
151,LightGBM,148,367,2,0.7743183192718949,0.7624078277033074,5201,"{""n_estimators"": 134, ""learning_rate"": 0.01068088760747994, ""num_leaves"": 40, ""min_child_samples"": 2, ""reg_lambda"": 1.3316548744865817, ""subsample"": 0.7966292637121353, ""colsample_bytree"": 0.5266812725585401}",0.7963894163394127,0.7839534276068325,4110,"{""n_estimators"": 411, ""learning_rate"": 0.02417316480610481, ""num_leaves"": 11, ""min_child_samples"": 63, ""reg_lambda"": 7.531891884689009, ""subsample"": 0.6014060771732637, ""colsample_bytree"": 0.6052344243184398}",0.7753579907913104,106
215,LightGBM,242,736,2,0.7645300669362516,0.779139634755909,15120,"{""n_estimators"": 487, ""learning_rate"": 0.029037920727453637, ""num_leaves"": 42, ""min_child_samples"": 96, ""reg_lambda"": 13.557622834485553, ""subsample"": 0.6340176845479112, ""colsample_bytree"": 0.5195273916164411}",0.7679541325974933,0.8145696484649619,2763,"{""n_estimators"": 307, ""learning_rate"": 0.019998580216165584, ""num_leaves"": 10, ""min_child_samples"": 18, ""reg_lambda"": 3.8392452688865353, ""subsample"": 0.8962608847484255, ""colsample_bytree"": 0.7265525991268337}",0.6973131620651343,155
385,LightGBM,770,1388,2,0.7858874020362975,0.787536776043448,2763,"{""n_estimators"": 307, ""learning_rate"": 0.019998580216165584, ""num_leaves"": 10, ""min_child_samples"": 18, ""reg_lambda"": 3.8392452688865353, ""subsample"": 0.8962608847484255, ""colsample_bytree"": 0.7265525991268337}",0.7868252449981181,0.7868582160087045,1540,"{""n_estimators"": 308, ""learning_rate"": 0.024313356379475164, ""num_leaves"": 6, ""min_child_samples"": 62, ""reg_lambda"": 2.0191282421740886, ""subsample"": 0.9320717465253897, ""colsample_bytree"": 0.7722638137137813}",0.7370401276589515,153
515,LightGBM,217,640,2,0.7964050084311189,0.7172532459928782,11313,"{""n_estimators"": 404, ""learning_rate"": 0.022231020650357484, ""num_leaves"": 67, ""min_child_samples"": 70, ""reg_lambda"": 10.640774477412032, ""subsample"": 0.6014060771732637, ""colsample_bytree"": 0.6639612945005763}",0.8023195373444121,0.7498779086115892,1092,"{""n_estimators"": 364, ""learning_rate"": 0.044445142689555885, ""num_leaves"": 4, ""min_child_samples"": 3, ""reg_lambda"": 2.1198840395767413, ""subsample"": 0.6405739673201474, ""colsample_bytree"": 0.5773824909668966}",0.7659078590897691,91
516,LightGBM,227,493,2,0.760153231732881,0.7890566843425838,1116,"{""n_estimators"": 93, ""learning_rate"": 0.010232920765373021, ""num_leaves"": 13, ""min_child_samples"": 1, ""reg_lambda"": 2.1288852607548154, ""subsample"": 0.8816965864190847, ""colsample_bytree"": 0.7538018602155415}",0.7681828511578197,0.7892666551857954,5842,"{""n_estimators"": 254, ""learning_rate"": 0.01185188191976558, ""num_leaves"": 24, ""min_child_samples"": 27, ""reg_lambda"": 3.3408213370654884, ""subsample"": 0.9778379023963253, ""colsample_bytree"": 0.7932775202509965}",0.711812481815037,99
529,LightGBM,198,265,2,0.7080694695258674,0.744745895597174,930,"{""n_estimators"": 93, ""learning_rate"": 0.06262141631666211, ""num_leaves"": 11, ""min_child_samples"": 16, ""reg_lambda"": 0.5004561224388153, ""subsample"": 0.6022389191725426, ""colsample_bytree"": 0.9963479427787393}",0.709983252213362,0.7774044800168034,1078,"{""n_estimators"": 98, ""learning_rate"": 0.019573916853305236, ""num_leaves"": 12, ""min_child_samples"": 21, ""reg_lambda"": 0.5536652153046541, ""subsample"": 0.7480699079580189, ""colsample_bytree"": 0.6967971264074565}",0.6702798028369463,138
551,LightGBM,361,677,2,0.7783074673146289,0.7802197263655588,1116,"{""n_estimators"": 93, ""learning_rate"": 0.010232920765373021, ""num_leaves"": 13, ""min_child_samples"": 1, ""reg_lambda"": 2.1288852607548154, ""subsample"": 0.8816965864190847, ""colsample_bytree"": 0.7538018602155415}",0.7752082873341957,0.7945982594778813,1116,"{""n_estimators"": 93, ""learning_rate"": 0.010232920765373021, ""num_leaves"": 13, ""min_child_samples"": 1, ""reg_lambda"": 2.1288852607548154, ""subsample"": 0.8816965864190847, ""colsample_bytree"": 0.7538018602155415}",0.7294177717451007,216
