unidade,alg,ev_treino,ev_teste,dobras,local,local_cv,local_div,local_par,agrupado,agrupado_cv,agrupado_div,agrupado_par,externa_platt,segundos
022,XGBoost,39,239,2,0.7254548761381967,0.6749765046987224,84,"{""n_estimators"": 84, ""learning_rate"": 0.037232701284920434, ""max_depth"": 2, ""min_child_weight"": 0.9823327287257541, ""reg_lambda"": 2.3057667553631616, ""subsample"": 0.6694633824428365, ""colsample_bytree"": 0.8054482052669594}",0.7197939962045827,0.6818882603955623,314,"{""n_estimators"": 314, ""learning_rate"": 0.01587866089809444, ""max_depth"": 8, ""min_child_weight"": 15.452846060156638, ""reg_lambda"": 4.288682195910694, ""subsample"": 0.938338010641071, ""colsample_bytree"": 0.5104122336200766}",0.6912995832866595,372
076,XGBoost,150,498,2,0.7782228774285125,0.8295457073898393,225,"{""n_estimators"": 225, ""learning_rate"": 0.03855437519010386, ""max_depth"": 5, ""min_child_weight"": 2.7820264472066727, ""reg_lambda"": 6.2622838823547715, ""subsample"": 0.6817808998926069, ""colsample_bytree"": 0.9390587181954727}",0.7951727468428043,0.8262526754949061,336,"{""n_estimators"": 336, ""learning_rate"": 0.010097812516291865, ""max_depth"": 4, ""min_child_weight"": 9.53115994388669, ""reg_lambda"": 2.794320350638808, ""subsample"": 0.9024249139156154, ""colsample_bytree"": 0.7623842822172988}",0.7446268882146753,48
079,XGBoost,212,694,2,0.7594799264240829,0.7577153735973858,254,"{""n_estimators"": 254, ""learning_rate"": 0.01185188191976558, ""max_depth"": 5, ""min_child_weight"": 7.573511387090733, ""reg_lambda"": 3.3408213370654884, ""subsample"": 0.9778379023963253, ""colsample_bytree"": 0.7932775202509965}",0.7649273135923598,0.7740967058305217,353,"{""n_estimators"": 353, ""learning_rate"": 0.017062866721164024, ""max_depth"": 5, ""min_child_weight"": 22.56869263493588, ""reg_lambda"": 6.274660981977123, ""subsample"": 0.7212380462655414, ""colsample_bytree"": 0.7996859418490918}",0.7112636245342482,320
151,XGBoost,148,367,2,0.7967620681648606,0.7574709876672584,296,"{""n_estimators"": 296, ""learning_rate"": 0.01997992460975262, ""max_depth"": 4, ""min_child_weight"": 9.048324287677623, ""reg_lambda"": 3.9901256381689736, ""subsample"": 0.908920680068999, ""colsample_bytree"": 0.7024864868217472}",0.7960120151648782,0.7928660674986715,151,"{""n_estimators"": 151, ""learning_rate"": 0.1982088110754708, ""max_depth"": 2, ""min_child_weight"": 2.8039034454104637, ""reg_lambda"": 17.122473262092825, ""subsample"": 0.8132661139892068, ""colsample_bytree"": 0.8459385569752367}",0.783050536745278,44
215,XGBoost,242,736,2,0.7478688011567676,0.805113818170835,477,"{""n_estimators"": 477, ""learning_rate"": 0.024322817055119465, ""max_depth"": 7, ""min_child_weight"": 29.94539845115828, ""reg_lambda"": 1.5105512468893212, ""subsample"": 0.9405963298073324, ""colsample_bytree"": 0.9908179144809038}",0.7619409927160467,0.8140242225426022,90,"{""n_estimators"": 90, ""learning_rate"": 0.05994147406380695, ""max_depth"": 3, ""min_child_weight"": 15.452846060156638, ""reg_lambda"": 8.625951482091295, ""subsample"": 0.7426319883729995, ""colsample_bytree"": 0.6044007766520978}",0.6903247427717047,60
385,XGBoost,770,1388,2,0.7873046901450896,0.7884784157209161,394,"{""n_estimators"": 394, ""learning_rate"": 0.02358936373723803, ""max_depth"": 3, ""min_child_weight"": 14.734200742910621, ""reg_lambda"": 8.17126875064597, ""subsample"": 0.7099167859985417, ""colsample_bytree"": 0.6328574350742627}",0.7872028840255823,0.7891174143786814,469,"{""n_estimators"": 469, ""learning_rate"": 0.02584444989893799, ""max_depth"": 2, ""min_child_weight"": 0.8403604312750538, ""reg_lambda"": 1.1065835458298419, ""subsample"": 0.8461541811167553, ""colsample_bytree"": 0.5743053245959083}",0.7431665625216618,86
515,XGBoost,217,640,2,0.7968357730230593,0.7274204626594514,191,"{""n_estimators"": 191, ""learning_rate"": 0.016280762569072654, ""max_depth"": 5, ""min_child_weight"": 0.8001365915032603, ""reg_lambda"": 3.147231349441501, ""subsample"": 0.9137451887003012, ""colsample_bytree"": 0.5669044487625123}",0.8065032532404535,0.750748429790713,260,"{""n_estimators"": 260, ""learning_rate"": 0.024315434081748275, ""max_depth"": 2, ""min_child_weight"": 0.8471449944669658, ""reg_lambda"": 1.0074689870416214, ""subsample"": 0.9203042674766014, ""colsample_bytree"": 0.7442035247532685}",0.7622743005141167,37
516,XGBoost,227,493,2,0.7573580012558555,0.7862460166917165,82,"{""n_estimators"": 82, ""learning_rate"": 0.02044918687332619, ""max_depth"": 4, ""min_child_weight"": 1.1453207483406842, ""reg_lambda"": 4.026017066602918, ""subsample"": 0.9037002089535807, ""colsample_bytree"": 0.990466558404736}",0.7670908040061207,0.7893457514192254,81,"{""n_estimators"": 81, ""learning_rate"": 0.01681434734799987, ""max_depth"": 7, ""min_child_weight"": 0.7635064706573769, ""reg_lambda"": 2.2701657208721437, ""subsample"": 0.9317086924749939, ""colsample_bytree"": 0.7051131386428489}",0.7259680716547023,44
529,XGBoost,198,265,2,0.7104790094950262,0.7368517049670672,261,"{""n_estimators"": 261, ""learning_rate"": 0.010216437311783028, ""max_depth"": 3, ""min_child_weight"": 4.7416151771315835, ""reg_lambda"": 2.5052119958942085, ""subsample"": 0.8618517684956406, ""colsample_bytree"": 0.8103457858831359}",0.7099562212694448,0.7709275727574708,188,"{""n_estimators"": 188, ""learning_rate"": 0.014237218846537763, ""max_depth"": 3, ""min_child_weight"": 0.9570109485692515, ""reg_lambda"": 8.559829895579828, ""subsample"": 0.8335534245716789, ""colsample_bytree"": 0.7150206188509804}",0.6621615636261197,40
551,XGBoost,361,677,2,0.7791817561374402,0.7792316932390471,93,"{""n_estimators"": 93, ""learning_rate"": 0.010232920765373021, ""max_depth"": 4, ""min_child_weight"": 0.7891672640678268, ""reg_lambda"": 2.1288852607548154, ""subsample"": 0.8816965864190847, ""colsample_bytree"": 0.7538018602155415}",0.779479268814171,0.7970304082057105,153,"{""n_estimators"": 153, ""learning_rate"": 0.010460734749790127, ""max_depth"": 3, ""min_child_weight"": 1.2856004952091715, ""reg_lambda"": 3.7346372336029554, ""subsample"": 0.8123577549321584, ""colsample_bytree"": 0.6459336413247249}",0.7363622391080606,64
