unidade,ev_treino,ev_teste,continuacao_optuna,continuacao_platt,continuacao_50fixas,n_arvores,cv,par,segundos
022,39,239,0.7397096355156318,0.7397095922324315,0.6702640777310878,105,0.6860348720890517,"{""learning_rate"": 0.10352411600345293, ""max_depth"": 2, ""min_child_weight"": 3.094339027464588, ""reg_lambda"": 14.819790182856112, ""subsample"": 0.746918251273069, ""colsample_bytree"": 0.8046045630569479}",9
076,150,498,0.7943947698798007,0.7943947580983404,0.7142967787601946,54,0.8308549326623322,"{""learning_rate"": 0.03515077250496667, ""max_depth"": 5, ""min_child_weight"": 0.9956405771032623, ""reg_lambda"": 3.8977658822156105, ""subsample"": 0.7084059011166961, ""colsample_bytree"": 0.9008043473537614}",13
079,212,694,0.7560736343724104,0.7560736343724104,0.713464214876445,75,0.7585881179285093,"{""learning_rate"": 0.18208767258147673, ""max_depth"": 3, ""min_child_weight"": 1.667293987401895, ""reg_lambda"": 8.856495738009773, ""subsample"": 0.6116517631161222, ""colsample_bytree"": 0.8718531567976952}",20
151,148,367,0.7938373639322959,0.793837363932296,0.7144467857231354,23,0.7782671496957809,"{""learning_rate"": 0.027573900457091318, ""max_depth"": 7, ""min_child_weight"": 0.5002341997881448, ""reg_lambda"": 1.5251934201943027, ""subsample"": 0.6587023563268452, ""colsample_bytree"": 0.5461692973843989}",14
215,242,736,0.7565847386830505,0.7565847386830505,0.7105821281020941,84,0.8120018282511149,"{""learning_rate"": 0.03762569487410627, ""max_depth"": 8, ""min_child_weight"": 18.110809604736488, ""reg_lambda"": 1.646867290908427, ""subsample"": 0.8252179525605705, ""colsample_bytree"": 0.8211490983341662}",21
385,770,1388,0.7833417849631151,0.7833417796894162,0.7288696994105566,117,0.7883850001960975,"{""learning_rate"": 0.0638403708164296, ""max_depth"": 3, ""min_child_weight"": 2.0850218263951623, ""reg_lambda"": 6.897018409624181, ""subsample"": 0.8409838254715455, ""colsample_bytree"": 0.6928035099447041}",24
515,217,640,0.7920957332103589,0.7920957332103589,0.7375285643338921,69,0.7449376968773751,"{""learning_rate"": 0.015660246325967957, ""max_depth"": 5, ""min_child_weight"": 0.9841535796120829, ""reg_lambda"": 8.894760965240934, ""subsample"": 0.9270594849965731, ""colsample_bytree"": 0.8055857405123054}",13
516,227,493,0.7587893029960552,0.7587892900794518,0.7016221729720746,90,0.7647610773993581,"{""learning_rate"": 0.018197197897249603, ""max_depth"": 6, ""min_child_weight"": 15.24265733182699, ""reg_lambda"": 0.5348954723212653, ""subsample"": 0.9000577259779869, ""colsample_bytree"": 0.9944305444532473}",17
529,198,265,0.6915529521536008,0.6915529521536008,0.6389724740315675,23,0.788334055008286,"{""learning_rate"": 0.027573900457091318, ""max_depth"": 7, ""min_child_weight"": 0.5002341997881448, ""reg_lambda"": 1.5251934201943027, ""subsample"": 0.6587023563268452, ""colsample_bytree"": 0.5461692973843989}",14
551,361,677,0.7662857530806806,0.7662857530806807,0.6942960969660077,101,0.7835220552984365,"{""learning_rate"": 0.023086969707336313, ""max_depth"": 7, ""min_child_weight"": 20.87497061652009, ""reg_lambda"": 1.3689183471902988, ""subsample"": 0.8475891791628972, ""colsample_bytree"": 0.9386666305016353}",20
564,200,431,0.7793136756990775,0.7793136756990775,0.7267336290753972,99,0.7856246128025999,"{""learning_rate"": 0.03994494463966338, ""max_depth"": 3, ""min_child_weight"": 2.9944649825014054, ""reg_lambda"": 4.920750288969835, ""subsample"": 0.9252116087781778, ""colsample_bytree"": 0.8672916294651748}",12
566,146,490,0.7486003932364735,0.7486003932364734,0.6662443423117047,34,0.7944993034470348,"{""learning_rate"": 0.042789191448635217, ""max_depth"": 8, ""min_child_weight"": 1.4822218829765033, ""reg_lambda"": 1.3507866975935505, ""subsample"": 0.7243534088874222, ""colsample_bytree"": 0.6124122375298586}",10
732,123,331,0.6241500508042614,0.6241500508042614,0.604840975206888,5,0.6367759877348057,"{""learning_rate"": 0.26344231610124313, ""max_depth"": 4, ""min_child_weight"": 8.511857200564478, ""reg_lambda"": 12.676460341412865, ""subsample"": 0.957842665401539, ""colsample_bytree"": 0.542522105684889}",10
733,103,281,0.7382999086200412,0.7382999086200412,0.6450857582670471,48,0.7199445909831819,"{""learning_rate"": 0.03887989666961122, ""max_depth"": 2, ""min_child_weight"": 0.8436342694366559, ""reg_lambda"": 0.7555198303772582, ""subsample"": 0.760088085417791, ""colsample_bytree"": 0.8902738071249214}",10
774,65,290,0.5969133948186153,0.5969135409245702,0.6148723881368977,59,0.682147329043182,"{""learning_rate"": 0.2957792723409819, ""max_depth"": 5, ""min_child_weight"": 1.1184358702193056, ""reg_lambda"": 1.2404774887900167, ""subsample"": 0.6004848725554924, ""colsample_bytree"": 0.7893956453803781}",11
