estrategia,grupo,n,eventos,auroc,auroc_lo,auroc_hi,oe,oe_lo,oe_hi
local,M 0-17,143695,822,0.6861000138230398,0.6643253147221475,0.7061850525143788,1.0023463615468808,0.9321294241860619,1.0687739813270651
local,M 18-39,208338,765,0.7407856544617787,0.7231052802762816,0.7615852005050548,0.69711610659373,0.6503815947090665,0.7439279017525516
local,M 40-59,140196,1119,0.7498123672665035,0.7319524561303823,0.7653183745910913,0.8484865089611361,0.8040175930965131,0.9068025354485175
local,M 60-74,31994,561,0.7538253421120996,0.7304818489025733,0.7758484768557157,0.8821361701662085,0.8048223101666291,0.952098261389811
local,M 75+,7900,297,0.6982311607459576,0.6649415005538665,0.7268679316230074,1.0876412008549052,0.9583169383906641,1.221116269139198
local,F 0-17,133914,678,0.7233250128788706,0.7019649705878238,0.7461036461649191,0.9307407700973895,0.8634674090574798,0.990247384424433
local,F 18-39,309945,1467,0.7026358865778701,0.6875224705244918,0.7167701794318972,0.821866668818616,0.7834689388045022,0.8699383208846468
local,F 40-59,191390,1088,0.7090093751719403,0.6891845487146233,0.7274848329350491,0.6996056322638994,0.6562346335169053,0.7362903249822818
local,F 60-74,46826,572,0.7313759823002266,0.7108511752370464,0.7515646303792035,0.7688902475424042,0.7120154105954879,0.833930451784256
local,F 75+,16850,451,0.6930024125369172,0.6642388198661007,0.7190641341869223,0.9616225339677966,0.8705838800905966,1.039457722408506
externa_platt,M 0-17,143695,822,0.6565925026604285,0.637491906871293,0.676132746306788,0.7380892043685852,0.6859991739977889,0.7881676919319464
externa_platt,M 18-39,208338,765,0.7013991738759581,0.6818274476022756,0.7193669983067438,0.8383353046919584,0.783454132503623,0.9022403297914255
externa_platt,M 40-59,140196,1119,0.7427212433346227,0.7276218038803234,0.7581277980968935,1.2506061454388886,1.1764807076537476,1.3308858566611264
externa_platt,M 60-74,31994,561,0.7427726903268719,0.7211764012897331,0.7602253466848247,1.3139838327830777,1.20872287753943,1.4184194430905845
externa_platt,M 75+,7900,297,0.6885163175443327,0.6565562361824949,0.7169669987037043,1.566766839800315,1.3840738171632654,1.7338988305147738
externa_platt,F 0-17,133914,678,0.6617532790087206,0.6402714438845618,0.6847762202353738,0.705922366252032,0.6551343382964305,0.7588474141552085
externa_platt,F 18-39,309945,1467,0.6897255818242896,0.6771413892736659,0.7035418577481647,1.0010647334975886,0.9458966896352428,1.0534417741104394
externa_platt,F 40-59,191390,1088,0.7028994273305217,0.6869130472915569,0.7202444769886132,0.9849106785100435,0.9301165254692358,1.0448734176571082
externa_platt,F 60-74,46826,572,0.7094199526421605,0.6880752353426773,0.7318458512914666,1.1059281011166848,1.0310508111722945,1.193970012105649
externa_platt,F 75+,16850,451,0.6692569134806094,0.645155798498086,0.6931389275919023,1.5573960665821351,1.4131482461206912,1.70874928735331
agrupado,M 0-17,143695,822,0.703413916189123,0.6846625465930087,0.7211524831064513,1.011942252563584,0.9443600829707902,1.0815906105435689
agrupado,M 18-39,208338,765,0.7413572275336854,0.7235174673105125,0.7615192539419997,0.7456477467371486,0.6908372147625743,0.7950895938117025
agrupado,M 40-59,140196,1119,0.7707294805598943,0.7569225774937729,0.7867038509917952,0.9941025221147287,0.9408916004329749,1.049122988367488
agrupado,M 60-74,31994,561,0.7727067441015503,0.7536549411246918,0.7872221234075696,1.008049437000036,0.9241139037848308,1.09332094391581
agrupado,M 75+,7900,297,0.7195378751343502,0.6914997196487286,0.7523407853277485,1.1164630908308104,0.9749536034639884,1.240244344857266
agrupado,F 0-17,133914,678,0.7351959795695104,0.7125593643793516,0.7555513774209012,0.9419770528839586,0.8673168698420562,1.0104857247858807
agrupado,F 18-39,309945,1467,0.7196850950334857,0.705947331454688,0.7331973466097726,0.9028749007733928,0.8567875468481718,0.9507317251718982
agrupado,F 40-59,191390,1088,0.7247412534728083,0.7047130749834621,0.7428194695883072,0.7805022945091159,0.7416786839061127,0.8214941177327083
agrupado,F 60-74,46826,572,0.7508329651928043,0.729622757513364,0.772291242128102,0.8381632980871773,0.7668053974100516,0.9066980488914387
agrupado,F 75+,16850,451,0.7081226493043692,0.6840049650217586,0.7332230984766124,1.0668450809581558,0.9679455438960405,1.1761627836277948
