algoritmo,braco,oe,slope,intercepto,ici,ici90,brier,auroc
CatBoost,agrupado,1.0172,1.0746,0.2888,0.0022,0.0042,0.0061,0.7539
CatBoost,continuacao,0.9984,1.0296,0.3355,0.0019,0.0032,0.0061,0.7501
CatBoost,externa_platt,0.9952,1.0678,0.2768,0.0018,0.0036,0.0061,0.7354
CatBoost,local,0.9905,1.0315,0.2571,0.0023,0.0038,0.0061,0.7359
Floresta,agrupado,0.9999,1.0384,0.3422,0.0018,0.0034,0.0061,0.7502
Floresta,externa_platt,1.0089,1.0877,0.2549,0.0018,0.004,0.0061,0.7003
Floresta,local,0.9953,1.057,0.373,0.0018,0.0036,0.0061,0.7514
LightGBM,agrupado,1.0323,1.0269,0.3771,0.0018,0.0033,0.0061,0.7537
LightGBM,continuacao,1.0072,1.0391,0.3806,0.0016,0.0031,0.0061,0.7409
LightGBM,externa_platt,1.021,1.0464,0.3219,0.0016,0.003,0.0061,0.7162
LightGBM,local,0.9951,1.0277,0.3251,0.0018,0.0038,0.0061,0.7395
XGBoost,agrupado,1.0156,1.037,0.3679,0.0019,0.0036,0.0061,0.7529
XGBoost,continuacao,0.9892,1.0042,0.3611,0.0017,0.0034,0.0061,0.7413
XGBoost,externa_platt,1.0175,1.0658,0.2569,0.0017,0.0032,0.0061,0.7156
XGBoost,local,0.9911,0.9767,0.3414,0.0017,0.0034,0.0061,0.74
