algoritmo,unidade,mecanismo,IDADE,HORAS_PS,HORA_CHEGADA,N_PS_30D,N_PS_90D,DIAS_ULT_PS,N_INT_365D,CD_SEXO,CD_CLINICA,CD_MOTIVO_ATENDIMENTO,CD_PROCEDENCIA,DIA_SEMANA
XGBoost,022,origem,0.16286692023277283,0.36256587505340576,0.040553633123636246,0.04696604236960411,0.015709886327385902,0.1480366289615631,0.10877325385808945,0.023707445710897446,0.04479275271296501,0.0,0.012812906876206398,0.03321458399295807
XGBoost,022,continuacao,0.08794296532869339,0.40376555919647217,0.09330431371927261,0.03442416712641716,0.035453129559755325,0.094779834151268,0.04682512953877449,0.0069020334631204605,0.11954087764024734,0.0,0.0068871621042490005,0.07017472386360168
LightGBM,022,origem,0.19404560639015783,0.3081279873707421,0.07706534553593557,0.0652924100129448,0.023139609801202235,0.13820911211962567,0.07968034293509288,0.02543479026254844,0.01511118961352125,0.0,0.020852462133380236,0.053041143824848945
LightGBM,022,continuacao,0.10079488463639555,0.3435818294672548,0.0896658617311756,0.05578795152899034,0.024814302609669235,0.11217984279921113,0.04801520657514454,0.023745941236775463,0.13729289840567804,0.0,0.01857891719500267,0.045542363814702544
CatBoost,022,origem,0.10120533664850502,0.3867820627467348,0.025684694999969043,0.11452889680478937,0.026571638477156538,0.0693877053149909,0.07186790561132124,0.03455133502504513,0.1332143347939228,0.00010218808874619323,0.00885321696578288,0.027250684523035987
CatBoost,022,continuacao,0.07906595582546964,0.37469127905086896,0.05745269774630675,0.0661625224831027,0.04379497090789655,0.11048501282429646,0.038014481429361646,0.02662379769328131,0.14977761926141592,8.593026112742426e-05,0.007805023732397565,0.046040708784474964
Floresta,022,origem,0.18304642976463312,0.31651829202065823,0.027932542320489785,0.10697468303137424,0.045516197653958625,0.09221273008724447,0.10809585839486782,0.018880473653051875,0.0727146979769314,0.0,0.011014202602917111,0.01709389249387342
XGBoost,076,origem,0.15327462553977966,0.32326430082321167,0.04769262298941612,0.09676479548215866,0.01293550617992878,0.1512453705072403,0.10805923491716385,0.02553408406674862,0.031916793435811996,0.0,0.014873428270220757,0.03443928807973862
XGBoost,076,continuacao,0.17094649374485016,0.33512765169143677,0.060052771121263504,0.04575979337096214,0.04577094689011574,0.07964592427015305,0.1358911097049713,0.024228181689977646,0.018447672948241234,0.0,0.015544790774583817,0.06858465820550919
LightGBM,076,origem,0.16113439283364928,0.2627336204713629,0.08612455428401185,0.11808424795051385,0.027745988042870227,0.13937799753802155,0.08603630616593043,0.025167310457693944,0.011282122825957398,0.0,0.027396826764976585,0.05491663266501206
LightGBM,076,continuacao,0.1802484360812587,0.25730515321481356,0.08400188095780822,0.08234885012042287,0.08767682942285715,0.06885358711651243,0.09738062874027414,0.026560458676738855,0.008774178209605944,0.0,0.022074907423689102,0.0847750900360189
CatBoost,076,origem,0.14057690670703846,0.2946337071223082,0.0334881376730953,0.17743692445515624,0.07639304054774751,0.058302138719946356,0.07965241874357092,0.03064572886562893,0.06823126771841641,9.5961757635805e-05,0.011568132599025177,0.02897563509043075
CatBoost,076,continuacao,0.16100697590903998,0.2851555844114287,0.06545084132360636,0.06764626152095639,0.05338734430780506,0.06530024170248244,0.09092246085665656,0.042044253606530406,0.04397242034458832,6.182457766097641e-05,0.03270704458451685,0.09234474685472803
Floresta,076,origem,0.14521910752404896,0.2475098255103056,0.03133961013615284,0.2014681529353027,0.1106096792648975,0.06267474638225085,0.11076823670537118,0.01764922605758185,0.047099244579393795,0.0,0.009548539725475378,0.016113631179219344
XGBoost,079,origem,0.17587773501873016,0.3508130609989166,0.045834366232156754,0.05001625046133995,0.012796520255506039,0.13249553740024567,0.10403312742710114,0.02831435017287731,0.04348868131637573,0.0,0.016875362023711205,0.03945503383874893
XGBoost,079,continuacao,0.1742589771747589,0.299834668636322,0.0827287882566452,0.010014704428613186,0.03429903835058212,0.11150678247213364,0.08422830700874329,0.0211250651627779,0.03027796745300293,0.0,0.0805613175034523,0.07116435468196869
LightGBM,079,origem,0.20739544044424407,0.2836759887225283,0.08285877273919037,0.06860531378342892,0.021790510674680203,0.1200747937920533,0.07568009881245652,0.02881993550448829,0.014516448754080109,0.0,0.03162046544185291,0.06496223133099703
LightGBM,079,continuacao,0.21194857004245785,0.2793713410320572,0.09246369340236968,0.04745728391778214,0.040638714979851845,0.11324900135679077,0.0638771445666035,0.012384754118460605,0.020631854507699523,0.0,0.06523491376474896,0.05274272831117784
CatBoost,079,origem,0.1321835252026717,0.3421882871457918,0.03195651286406723,0.12108949796347765,0.026232493327363864,0.0725339551563772,0.07536060161769194,0.03925676128644834,0.11468427044844647,0.00011591766941346595,0.013373174737115523,0.031025002581134758
CatBoost,079,continuacao,0.22774803138754607,0.3474471698467679,0.0741005560811564,0.07681808461846135,0.01654285748150279,0.040990736022066716,0.07109664264518553,0.020787017272492637,0.035075042479713756,8.89051205418036e-05,0.06342071802799844,0.025884239016566637
Floresta,079,origem,0.20509678464268583,0.30350880030429345,0.03400735980263484,0.10998803021928703,0.044127782403561445,0.08265531408582134,0.09584999635152794,0.021071894032362752,0.0733935114469074,0.0,0.011871575664186384,0.01842895104673155
XGBoost,151,origem,0.16426348686218262,0.35117366909980774,0.041704148054122925,0.05100511014461517,0.007103662937879562,0.12617014348506927,0.12410352379083633,0.030978277325630188,0.04206429421901703,0.0,0.017260367050766945,0.044173289090394974
XGBoost,151,continuacao,0.16430231928825378,0.3707785904407501,0.053999513387680054,0.04817056283354759,0.008245895616710186,0.11031163483858109,0.10642492771148682,0.018983392044901848,0.07386527955532074,0.0,0.015226775780320168,0.029691075906157494
LightGBM,151,origem,0.17544563791544196,0.2923310233485632,0.08363972387294487,0.06483756204481053,0.020247046169136244,0.1133792098251515,0.09017664427754671,0.031364201351147744,0.016781211936432654,0.0,0.034887214267348865,0.07691052499147578
LightGBM,151,continuacao,0.17162799496890216,0.3103115628213124,0.08073052749670871,0.060240934540490024,0.020445634219871788,0.10543881042699853,0.08645060699919545,0.027762469507284143,0.03807341084177125,0.0,0.03213745831460099,0.06678058986286467
CatBoost,151,origem,0.15264382520429573,0.32830891534429407,0.033561673811844245,0.12387267797309341,0.028874609267911456,0.054190775852140764,0.09681369637824402,0.036730133835372616,0.09980597504215806,0.00011631983540905035,0.014663876534581276,0.03041752092065537
CatBoost,151,continuacao,0.14942175768318527,0.33834685240202617,0.028948596479248894,0.11692111561291303,0.02567324453904392,0.05760134793522318,0.09320761614965217,0.03429072068706057,0.10982326389679041,0.00011269350318711036,0.014206722449133144,0.031446068662536096
Floresta,151,origem,0.15094512922093,0.27641526109147835,0.032306202348104544,0.13143012158153075,0.058823052949555164,0.06880136753908737,0.1679208252734945,0.02171648583486954,0.06654899226325586,0.0,0.010720548236328764,0.014372013661365222
